claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration
LLVA62727,PITTMANS TREE & LANDSCAPING,FRONT ROYAL,VA,22630,male,FALSE,FALSE,212.5,2018-06-27,FALSE,FALSE,0,2018-07-24,FALSE,FALSE,FALSE,0,0,27
LLVA62728,PARIOT PROFESSIONAL SERVICES,NOKESVILLE,VA,20181,male,FALSE,FALSE,1200,2018-07-06,FALSE,FALSE,0,2018-08-21,FALSE,FALSE,FALSE,0,0,46
LLVA62729,TOWNE PARK VALET,ANNAPOLIS,MD,21401,male,FALSE,FALSE,350,2018-06-27,FALSE,FALSE,0,2018-07-27,FALSE,FALSE,FALSE,0,0,30
LLVA62730,ACCUFORCE,DUFFIELD,VA,24244,male,FALSE,FALSE,272,2018-07-09,FALSE,FALSE,0,2018-07-18,FALSE,FALSE,FALSE,0,0,9
LLVA62731,POTTER'S FIRE LLC,HERNDON,VA,20170,NA,FALSE,TRUE,1546.38,2018-06-27,FALSE,FALSE,0,2018-07-05,FALSE,FALSE,FALSE,0,0,8
LLVA62732,MICHAEL FAUL,HERNDON,VA,20170,NA,FALSE,TRUE,0,2018-06-27,FALSE,FALSE,0,2018-07-05,FALSE,FALSE,FALSE,0,0,8
LLVA62733,DIVERSE PURSUITS MANAGEMENT LLC,VIRGINIA BEACH,VA,23462,male,FALSE,FALSE,480,2018-07-06,FALSE,FALSE,0,2018-09-10,FALSE,FALSE,FALSE,0,0,66
LLVA62734,GCS JANITORIAL SERVICE,NA,NA,NA,male,FALSE,FALSE,500,2018-06-27,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,0
LLVA62735,GCS JANITORIAL,NA,NA,NA,male,FALSE,FALSE,500,2018-06-27,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,0
LLVA62736,"DEVTECH SYSTEMS, INC",ARLINGTON,VA,22209,female,FALSE,FALSE,186.8,2018-06-27,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,0
LLVA62737,CHIPOTLE MEXICAN GRILL,FAIRFAX,VA,22033,female,TRUE,FALSE,1060.16,2018-07-09,FALSE,FALSE,0,2018-09-10,FALSE,FALSE,FALSE,0,0,63
LLVA62738,HOME CARE SERVICES UNLIMITED,VIRGINIA BEACH,VA,23464,female,FALSE,FALSE,7522.5,2018-07-06,FALSE,FALSE,0,2018-07-06,FALSE,FALSE,FALSE,0,0,0
